,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
4340,faron young,if you ain't lovin' (you ain't livin'),0,7oanidqUgZO3GxXugm2ucC,0.625,0.416,7,-10.282,1,0.0316,0.752,0.0,0.0853,0.833,149.44,142000,4
4341,bill justis,raunchy,0,5gsVdCTBKYHzzGcYNg1TXT,0.506,0.742,2,-5.796,1,0.03,0.764,0.767,0.0854,0.731,76.353,144827,4
4342,the browns,the three bells,0,24SbmQo3XQkNLpSBYda4DA,0.47,0.159,7,-14.795,1,0.0403,0.893,0.0,0.124,0.418,106.488,169573,4
4343,johnny cash,"cry, cry, cry - long version",0,7DP5q4CQMx5hf4K5RnVVYP,0.783,0.615,5,-10.7,1,0.0754,0.779,0.000324,0.153,0.9,104.663,183000,4
4344,eddy arnold,how's the world treating you,0,7oW8AM8E8DeZknzCSCb3lu,0.528,0.168,2,-12.053,1,0.0305,0.952,0.000151,0.289,0.39,82.83,176600,4
4345,marty robbins,el paso,0,4f8hBeMXMvssn6HtFAtblo,0.654,0.452,2,-9.709,1,0.03,0.835,2.89e-05,0.16,0.691,106.662,259307,3
4346,lefty frizzell,forever and always,0,7agwsApRblBWDQoFBU67US,0.623,0.0946,7,-15.174,1,0.0293,0.69,7.68e-05,0.183,0.428,96.551,150453,4
4348,johnny cash,a boy named sue - live version,0,67jVZ1CCpjzFKu0ulw1qhi,0.699,0.439,10,-11.956,1,0.183,0.777,0.0,0.71,0.913,101.495,224693,4
4349,porter wagoner,green green grass of home,0,5TLkHWQBlL3sMDteMbskzi,0.679,0.202,3,-17.938,1,0.0295,0.651,0.000722,0.117,0.591,95.89,178267,4
4350,floyd cramer,last date - instrumental,0,7rbvjRc6ZTVA3GUXDx3Xtr,0.615,0.306,0,-12.026,1,0.0289,0.858,0.958,0.15,0.613,103.818,146760,3
4351,loretta lynn,blue kentucky girl,0,2mqXqQnxcFq5tmG98kUQZw,0.679,0.402,11,-9.49,1,0.0347,0.785,0.000186,0.105,0.484,113.138,163640,4
4352,conway twitty,the image of me,0,2jfHjFG4pT0bTTbvSDcOv6,0.557,0.438,9,-6.034,1,0.0268,0.338,8.17e-06,0.136,0.45,87.895,177333,3
4353,porter wagoner,we'll get ahead someday,0,7mdB5GWRbuWJDxZ2CbarAv,0.68,0.404,11,-12.732,1,0.0307,0.333,0.0,0.114,0.917,82.02,117053,4
4354,johnny cash,jackson (with june carter cash),0,5fcxVCOtfesNzI2n4Y4kiJ,0.741,0.615,0,-8.072,1,0.0358,0.519,0.000344,0.407,0.799,128.496,165827,4
4355,wynn stewart,it's such a pretty world today,0,32zPvvt7K2nZIbQl7cMM3F,0.622,0.344,4,-12.833,1,0.0396,0.854,0.0,0.31,0.673,118.377,150094,4
4356,faron young,wine me up,0,2QS8C4T3H1hYpnADMpq8Uz,0.547,0.254,9,-16.548,1,0.0461,0.133,8.24e-05,0.263,0.903,139.65,144120,4
4357,george jones,the race is on,0,2LyRC7gfWFJd6JI5i8fTJe,0.428,0.701,9,-7.73,1,0.0658,0.247,0.0,0.154,0.918,170.419,127400,4
4358,david houston,almost persuaded,0,2Krnm3qWdy4VG5vTkT0cDn,0.251,0.338,8,-11.897,1,0.0382,0.861,0.0,0.144,0.353,81.642,176360,3
4359,ferlin husky,timber i'm falling,0,0jRIzXzMRKbwXLpblAsqsa,0.757,0.701,4,-7.345,1,0.0347,0.526,4.84e-05,0.121,0.884,112.947,152800,4
4360,glen campbell,wichita lineman - remastered,0,6V9VCm1zOY2lGR80RehJ9i,0.192,0.392,5,-11.667,1,0.0328,0.326,0.000199,0.248,0.391,172.312,186200,4
4361,tammy wynette,i don't wanna play house,0,0mSywazXcVFQZRk2Gg9ImX,0.546,0.258,7,-12.894,1,0.0317,0.806,1.06e-05,0.165,0.464,100.683,154627,4
4362,bobby bare,the streets of baltimore,0,3kDSSR6noFrYJBxijqEVm3,0.578,0.447,4,-14.212,1,0.032,0.629,0.0,0.19,0.808,116.128,157640,4
4363,merle haggard,branded man - remastered,0,2VN8jqhBgwIsU849PKxCfE,0.731,0.465,2,-8.133,1,0.03,0.386,0.0,0.0854,0.519,120.877,186800,4
4364,marty robbins,don't worry,0,0dPfKBYyPmoSfoLJqeKAs4,0.648,0.165,4,-16.446,1,0.0348,0.879,0.000216,0.13,0.435,99.585,194160,4
4365,hawkshaw hawkins,lonesome 7-7203,0,6ZW6ND4N7oKkUhKqWZhjyk,0.616,0.332,9,-13.455,1,0.0319,0.812,0.000401,0.332,0.662,115.88,166053,4
4366,roy clark,yesterday when i was young,0,34FHyAVCDFURtlrt6HfPHU,0.328,0.365,2,-13.772,0,0.0582,0.555,0.0,0.146,0.344,178.103,200240,4
4367,porter wagoner,the carroll county accident,0,5b3Bvd2m81gEQRWrShNkx2,0.643,0.504,7,-11.231,1,0.0395,0.346,0.0,0.247,0.705,91.688,169200,4
4368,tom t. hall,homecoming - single version,0,5Lb38fmngYVaPkLYHuAThe,0.617,0.357,11,-15.751,1,0.0429,0.935,0.00945,0.145,0.666,122.837,197293,4
4369,buck owens,act naturally,0,3JWEMzwpcWCvu4Qw1BIbYi,0.552,0.474,7,-6.847,1,0.0275,0.336,0.0,0.173,0.7,92.156,143693,4
4370,charley pride,does my ring hurt your finger,0,6VUXsWN3aNqEhaPawlFjep,0.399,0.35,11,-10.223,1,0.0286,0.777,0.0,0.115,0.667,107.61,137120,4
4371,henson cargill,skip a rope,0,2kzVFcp3kSU1Qld4dYBM7L,0.623,0.51,6,-13.092,0,0.0374,0.608,0.00267,0.0699,0.54,145.604,160785,4
4372,glen campbell,gentle on my mind - remastered,0,0mLoTgCB8oU0sJGojRtvDu,0.597,0.415,3,-13.799,1,0.0323,0.189,0.0,0.123,0.826,108.987,178627,4
4373,jimmy dean,big bad john,0,61uAY9xdzYiIbYJ07XvKso,0.516,0.457,8,-12.609,1,0.184,0.596,0.0,0.106,0.455,173.934,182560,4
4375,dave dudley,six days on the road,0,0LpmpBulMgAwtdC3YYgkql,0.703,0.549,2,-10.952,1,0.0493,0.708,5.57e-06,0.361,0.919,90.382,134707,4
4376,don gibson,sea of heartbreak,0,0xERMvJD8djz1ZBjPSRLvM,0.59,0.586,7,-9.158,1,0.0344,0.422,4.46e-05,0.337,0.729,91.17,155040,4
4377,bill anderson,bright lights and country music,0,1LWocjmlZPQjwfFV4cJ6HV,0.66,0.378,9,-12.857,1,0.0292,0.0814,4.67e-05,0.11,0.737,135.391,160440,4
4378,ray price,don't you ever get tired of hurting me,0,6QAJbtf8Qb69AKsp8soPmN,0.372,0.184,7,-16.772,1,0.031,0.661,0.361,0.207,0.541,83.535,168240,4
4379,eddy arnold,make the world go away,0,6drEsDrLJEeRJwGwgPgmJU,0.213,0.213,1,-11.896,1,0.0345,0.882,3.16e-05,0.0633,0.519,206.983,161533,3
4380,bill anderson,still - single version,0,0Q7eey8NSPQEQ3ol75UAAx,0.561,0.142,8,-18.972,1,0.0433,0.678,0.00631,0.226,0.293,94.454,166973,4
4381,bobbie gentry,ode to billie joe,0,4FdDorlbJTVHcH3djLbIfn,0.637,0.189,7,-10.726,1,0.0471,0.721,0.0,0.0939,0.695,120.142,255002,4
4382,carl butler,don't let me cross over,0,1ZNDtli4TjhuoBnWplaePI,0.59,0.188,7,-12.253,1,0.0302,0.871,0.0,0.0877,0.521,113.907,177107,3
4383,johnny cash,"folsom prison blues - live at folsom state prison, folsom, ca (1st show) - january 1968",0,6i8SZ4NIrYeyrbBOoRSC9z,0.661,0.571,8,-12.317,1,0.103,0.27,0.0,0.98,0.826,122.396,169293,4
4384,jim ed brown,pop a top,0,73AgVwYUEPn9kB0a97b4LW,0.524,0.497,9,-10.824,1,0.0372,0.687,5.66e-06,0.175,0.913,118.263,140307,4
4385,buck owens,above and beyond,0,2XEsLZrgYIAEa2YNDiqPYI,0.52,0.525,8,-7.449,1,0.0412,0.597,0.0,0.0847,0.743,147.601,148000,5
4386,jack greene,statue of a fool,0,3dtukeghbTpei1SJhrT3Jd,0.474,0.249,10,-14.124,1,0.0346,0.845,0.00437,0.129,0.216,110.078,181107,3
4387,tammy wynette,d-i-v-o-r-c-e,0,4JPEuPsDG3nNJMAvvQ2Rr3,0.628,0.383,9,-9.216,1,0.0296,0.826,0.0,0.151,0.564,99.789,175440,4
4388,connie smith,once a day,0,1guPCVBMmglx2m1DM0xOBu,0.502,0.353,6,-9.957,1,0.0317,0.451,0.0,0.0583,0.751,136.746,140120,4
4389,skeeter davis,the end of the world,0,5DTOOkooKFUvWj1XQTFa09,0.232,0.216,10,-10.674,1,0.0314,0.936,4.93e-06,0.246,0.432,94.268,157573,3
4390,roger miller,dang me,0,20iH1uibQIUqNFk3wzG7AG,0.564,0.378,9,-14.468,1,0.168,0.705,0.000716,0.0723,0.687,197.325,102400,4
4391,loretta lynn,fist city,0,1YaPhbIo2oKWT5ejlMEL5Z,0.656,0.556,0,-8.761,1,0.0357,0.762,0.0,0.315,0.915,77.855,133933,4
4392,faron young,hello walls,0,4dim8F8t01qimHOmr6S3Gd,0.62,0.406,0,-10.421,1,0.0281,0.722,6.73e-06,0.114,0.695,101.489,146840,4
4393,george jones,walk through this world with me,0,21SxnQOkzD11IO3qToKvaG,0.435,0.295,7,-9.043,1,0.0276,0.449,0.000265,0.11,0.49,94.292,137960,4
4394,"hank williams, jr.",standing in the shadows,0,5NTDu48JtNkuXzs2Zbc1X1,0.524,0.3,2,-14.508,1,0.0354,0.902,0.0192,0.156,0.544,98.107,189573,4
4395,bobby bare,500 miles away from home,0,44AauRai27QWKEx4dKn0oU,0.501,0.429,7,-10.803,1,0.0293,0.669,0.0,0.539,0.551,108.948,162560,4
4396,roger miller,chug-a-lug,0,0mD2pnYVF8DB3oqtY5KM8h,0.717,0.324,11,-14.631,1,0.113,0.739,0.000258,0.139,0.888,172.189,119093,4
4397,waylon jennings,(that's what you get) for lovin' me,0,1FrG5yYxDbusk4dK3pQ9le,0.608,0.684,4,-9.806,1,0.0419,0.664,2.94e-06,0.0897,0.873,89.074,146133,4
4398,buck owens,i've got a tiger by the tail - 2006 remastered version,0,1GDAvJth0ebssC2XkG7RYM,0.701,0.497,4,-10.05,1,0.0316,0.595,3.12e-05,0.118,0.963,96.513,133867,4
4399,merle haggard,mama tried,0,04ilBEd1FVUhpv9ItR6yTN,0.694,0.489,2,-13.119,1,0.0535,0.744,2.59e-06,0.079,0.695,97.982,133493,4
4400,johnny tillotson,send me the pillow you dream on,0,60LBZcuecM8zRwXmZm5bQs,0.433,0.318,2,-9.149,1,0.0271,0.724,2.5e-05,0.347,0.432,109.32,173960,4
4402,willie nelson,one in a row,0,2CDh0bBvP0ZAXiibPZvpPC,0.545,0.194,10,-10.909,1,0.0279,0.724,0.000191,0.193,0.515,96.515,152987,4
4403,merle haggard,the bottle let me down,0,5zubqviYpJmjtzPWHRRy4P,0.699,0.312,9,-13.09,1,0.0334,0.821,0.0133,0.135,0.633,126.023,168533,4
4404,hank snow,i've been everywhere - remastered,0,1rFGwz7rswOuW2IdXPd0fv,0.449,0.537,6,-13.138,1,0.0392,0.551,0.000148,0.412,0.961,119.689,164640,4
4405,charley pride,just between you and me,0,7lSgl6fOpD1aeeXS1mhKcd,0.527,0.439,6,-11.593,1,0.0323,0.618,0.0,0.345,0.659,110.195,134787,4
4406,bobby bare,(margie's at) the lincoln park inn,0,0srp0yXqH0Axym0z7wLUQy,0.364,0.318,2,-13.345,1,0.0308,0.724,0.000234,0.151,0.525,131.155,198733,3
4407,loretta lynn,you ain't woman enough,0,5XOM6Neo5IACRMhvd2ibKA,0.744,0.455,8,-7.543,1,0.0366,0.634,0.0,0.0526,0.905,75.281,135160,4
4408,tom t. hall,ballad of forty dollars,0,1phh5V7T5JAaiIww22ARZk,0.559,0.658,2,-16.085,1,0.0459,0.449,2.8e-06,0.239,0.799,114.086,181800,4
4409,johnny cash,daddy sang bass,0,15TITugVC8RrpLctHXOqT8,0.681,0.638,4,-7.818,1,0.0367,0.699,0.000629,0.0581,0.677,96.882,140440,4
4410,hank thompson,a six pack to go,0,6ac7GUlfon5ezqPvDYPixS,0.67,0.413,9,-14.734,1,0.18,0.489,0.00251,0.119,0.593,165.823,129360,4
4411,loretta lynn,don't come home a-drinkin' (with lovin' on your mind),0,1Ch2cPleHoVVXLVRRrGF6o,0.691,0.604,1,-6.587,1,0.062,0.658,0.000597,0.189,0.885,83.602,126920,4
4412,porter wagoner,the cold hard facts of life,0,2s2Owv5k5HaXCkvwV8AbsG,0.516,0.438,0,-11.834,1,0.0321,0.851,0.0,0.403,0.42,132.519,192947,4
4413,ferlin husky,wings of a dove,0,31vF1iGX0S3Dtv0rQfEksJ,0.5,0.319,4,-15.735,1,0.039,0.497,0.0,0.101,0.646,177.489,142907,3
4414,roger miller,little green apples - single version,0,1HjGctfkZjMHOEMJe9I755,0.534,0.115,0,-22.465,1,0.0467,0.876,0.00912,0.118,0.364,101.586,157760,4
4415,george hamilton iv,abilene,0,5bA26v8eeZrbHJpD4YPKAX,0.63,0.448,5,-15.015,1,0.0271,0.445,1.43e-05,0.271,0.753,104.024,133333,4
4417,jim reeves,welcome to my world,0,4xpjtAqc46tg04BzHTZnz2,0.341,0.252,3,-14.869,1,0.0288,0.725,0.0594,0.287,0.399,81.058,152600,4
4418,lefty frizzell,"saginaw, michigan",0,0ulPILleWfE1NBzUWIiNi9,0.596,0.366,10,-14.933,1,0.0325,0.878,0.00263,0.23,0.853,145.717,182573,4
4419,ray price,burning memories - single version,0,569rWEzod8v8JX86gO2eX6,0.32,0.297,7,-15.054,0,0.0357,0.899,0.000738,0.347,0.445,102.12,149200,4
4420,george jones,take me,0,321EGZZRFk8kj4pNZraesQ,0.427,0.209,9,-13.851,1,0.0308,0.863,0.0,0.103,0.333,102.668,140733,3
4421,the statler brothers,flowers on the wall,0,7ledv9CTjqdwnvHgRmETyZ,0.784,0.451,8,-11.225,0,0.0723,0.792,4.09e-05,0.115,0.78,100.303,138800,4
4422,leroy van dyke,walk on by,0,1Y6THdMlU9Cr4lgnUAR09L,0.58,0.452,10,-11.158,1,0.0364,0.795,1.13e-05,0.186,0.949,132.607,144200,4
4423,little jimmy dickens,may the bird of paradise fly up your nose,0,4KRLWRl1bFjnXhY5MgZWrM,0.66,0.801,4,-8.446,1,0.115,0.738,1.04e-05,0.627,0.867,104.374,151693,4
4424,tammy wynette,stand by your man,0,6xatfNMI8NkY5XxRHAeiS4,0.517,0.246,9,-11.992,1,0.0308,0.788,0.00105,0.133,0.525,105.24,159760,4
4425,merle haggard,swinging doors,0,5zubqviYpJmjtzPWHRRy4P,0.699,0.312,9,-13.09,1,0.0334,0.821,0.0133,0.135,0.633,126.023,168533,4
4426,chet atkins,yakety axe - buddha remastered - 2000,0,0Lo5YM7ZvIcUnbvnqLMUre,0.608,0.691,0,-10.119,1,0.0331,0.305,0.629,0.067,0.921,118.942,123240,4
4427,bobby bare,detroit city,0,6zBHtuqVP7CAx26XQRZnb6,0.551,0.285,11,-13.231,1,0.0289,0.784,0.0,0.112,0.398,121.315,168067,4
4428,marty robbins,devil woman,0,58ojWS1EGL6z5rEOELtJmH,0.684,0.277,4,-13.1,1,0.0533,0.921,6.54e-06,0.124,0.642,145.155,172667,4
4429,wanda jackson,right or wrong,0,1FAtkmz8kFmbq4VmOf79fb,0.425,0.291,7,-10.554,1,0.0315,0.814,0.0,0.143,0.393,114.574,157160,4
4430,ernest ashworth,talk back trembling lips,0,2kc2v1biRvuHJaBozQzfqs,0.575,0.435,9,-11.801,1,0.0326,0.751,0.0,0.0795,0.739,135.955,160440,4
4431,porter wagoner,the last thing on my mind,0,0sJchoPZwC2MV8WzZRoZUk,0.611,0.412,11,-12.513,1,0.0282,0.563,0.0,0.24,0.713,105.811,156160,4
4432,patsy cline,i fall to pieces - single version,0,6zFsz86nAj5gcvzyVqNL3k,0.481,0.0568,10,-20.508,1,0.0357,0.917,0.0,0.12,0.505,111.799,171333,4
4433,marty robbins,big iron,0,0AQquaENerGps8BQmbPw14,0.726,0.474,1,-7.834,0,0.0491,0.803,0.0,0.258,0.57,116.027,235733,4
4434,roger miller,king of the road - single version,0,1HjGctfkZjMHOEMJe9I755,0.534,0.115,0,-22.465,1,0.0467,0.876,0.00912,0.118,0.364,101.586,157760,4
4435,porter wagoner,misery loves company,0,1wBb03d9IaI6PHFeR438jP,0.455,0.441,5,-11.119,1,0.08,0.534,0.0,0.124,0.633,189.169,149547,3
4436,ned miller,from a jack to a king,0,0tGvjiddWph1hYUbdZ7u6Q,0.607,0.624,11,-2.983,1,0.0336,0.824,0.0,0.102,0.694,100.809,130000,4
4437,patsy cline,leavin' on your mind - single version,0,1D2mV1f9QkklP6vy0sdBI9,0.493,0.0719,7,-19.293,1,0.0317,0.932,2.04e-06,0.607,0.385,104.018,147027,3
4438,roger miller,me and bobby mcgee,0,3i5bJFIAkgoZqJoRAQqAKO,0.538,0.492,2,-14.736,1,0.0323,0.392,0.00182,0.051,0.899,166.049,196400,4
4439,del reeves,girl on the billboard,0,3T4zow8ial809ciFETZ6wM,0.624,0.716,2,-10.697,1,0.0374,0.736,0.0,0.315,0.961,83.167,162867,4
4440,jack greene,there goes my everything,0,4w6KzdRpUwyKfEf4vFLeiI,0.425,0.342,10,-10.81,1,0.0282,0.838,0.0,0.147,0.365,139.205,142880,5
4441,hank locklin,"please help me, i'm falling",0,0dc0eU5THc1uE0Q0KV73XN,0.552,0.336,7,-10.712,1,0.0311,0.828,0.0,0.324,0.553,105.479,141467,4
4442,cowboy copas,alabam,0,6x8EqpeM8XzeoEKfatpSYP,0.719,0.653,2,-11.572,1,0.0305,0.378,0.00364,0.129,0.96,106.718,139907,4
4443,patsy cline,sweet dreams (of you) - single version,0,0gnQsZ607gfNhIUqCNFC1G,0.321,0.0227,8,-22.698,1,0.0349,0.953,0.0,0.313,0.312,83.319,155733,4
4444,waylon jennings,"luckenbach, texas (back to the basics of love)",0,5pdKPY4O9CHuzDDp557j4N,0.687,0.469,7,-9.992,1,0.0322,0.714,0.00199,0.252,0.674,102.88,200640,4
4445,emmylou harris,one of these days - remastered,0,5bdGM6A3QTdrngOtufCS2L,0.663,0.387,10,-9.271,1,0.03,0.447,3.18e-05,0.121,0.681,124.671,183720,4
4446,sonny james,"bright lights, big city",0,0NFT2UXI5WmqTNeqqymAeb,0.708,0.463,5,-13.748,1,0.0436,0.724,0.000222,0.0904,0.961,117.262,156133,4
4448,tom t. hall,country is,0,6N4aENoIN4eRRpuPddLfRB,0.544,0.343,0,-15.537,1,0.0295,0.829,6e-05,0.0837,0.929,145.411,132733,4
4449,mel tillis,"midnight, me and the blues",0,7vRwCuTsBIbV1oVoyPEHrd,0.647,0.282,3,-15.042,1,0.0319,0.843,0.00134,0.182,0.753,132.169,170200,4
4450,johnny paycheck,take this job and shove it,0,4XbxeoBeQnwpsyJyZEMoWc,0.764,0.455,10,-10.336,1,0.0508,0.562,1.61e-05,0.0756,0.707,137.148,156293,4
4451,john conlee,rose colored glasses,0,1Ko3qmw2ItUEefsjDjpLWL,0.396,0.379,8,-14.236,1,0.043,0.382,0.0,0.105,0.368,114.447,200493,3
4452,vern gosdin,till the end,0,7pwA0yTkSFYDiiplqmy8KE,0.547,0.265,9,-16.803,1,0.0249,0.411,1.35e-06,0.109,0.385,93.106,166000,4
4453,glen campbell,rhinestone cowboy,0,0VwTeYNjcl30DyQlt3GPe0,0.644,0.633,0,-8.006,1,0.0261,0.102,6.82e-05,0.227,0.647,115.191,194453,4
4454,conway twitty,"louisiana woman, mississippi man",0,02sENi9ULQ36x9mKo5B7XW,0.62,0.711,1,-6.943,1,0.035,0.477,0.000168,0.0812,0.96,98.263,151731,4
4455,george jones,the grand tour,0,5lXX4SAV6HBaVnZ6sUQPNE,0.458,0.275,10,-11.498,1,0.0261,0.944,0.0194,0.271,0.449,88.718,187373,4
4457,the kendalls,heaven's just a sin away,0,0bMugNnsdbGA2uLNCw81K0,0.617,0.638,6,-8.001,1,0.0297,0.725,0.0,0.071,0.902,152.816,153867,4
4458,tammy wynette,'til i get it right,0,64s3ywG24Rkgum7qIIA6wO,0.528,0.146,0,-13.271,1,0.0288,0.843,0.000356,0.101,0.336,133.894,157933,4
4459,don williams,it must be love - single version,0,2yjP9SAtGTy6xgMEJXVXsi,0.92,0.399,5,-17.627,1,0.0608,0.129,8.66e-06,0.0721,0.966,110.824,146733,4
4460,johnny rodriguez,ridin' my thumb to mexico,0,4cts2JWIBKsSyMuclg7yZP,0.628,0.321,1,-9.718,1,0.0292,0.972,1.01e-05,0.253,0.666,90.259,126200,4
4461,barbara mandrell,(if loving you is wrong) i don't want to be right,0,1cxjGdsHJn2vo17AbWLFzu,0.621,0.536,4,-10.935,0,0.0349,0.0341,1.01e-05,0.142,0.72,74.256,185013,4
4462,anne murray,shadows in the moonlight,0,7i6YbLIaM45ntr0OnkEfBj,0.63,0.689,0,-5.927,1,0.0253,0.00351,4.7e-05,0.103,0.422,104.683,209733,4
4463,gene watson,love in the hot afternoon,0,0DT0jbuh51K52Rn5sTqWeq,0.536,0.404,4,-11.265,1,0.0351,0.532,0.0,0.101,0.29,112.682,201240,3
4464,jerry reed,"when you're hot, you're hot",0,6sykijVtS1m8vxLnkKXrJ5,0.788,0.832,4,-10.783,1,0.0981,0.354,0.0,0.1,0.91,101.045,139560,4
4465,don williams,some broken hearts never mend - single version,0,6OREPdoHWU3IehSiZA6rcw,0.633,0.433,9,-16.442,1,0.0264,0.228,0.0775,0.0751,0.816,97.527,168360,4
4466,marie osmond,paper roses,0,00oIqmk1eRn9D2y8BzNLS1,0.359,0.504,8,-10.555,1,0.0349,0.272,1.52e-05,0.332,0.73,114.172,158973,4
4467,conway twitty,don't take it away - single version,0,2ZvnuEEAso2ApgAsmu29Oj,0.721,0.302,4,-16.424,1,0.0592,0.517,0.0,0.168,0.433,88.461,221400,4
4468,mickey gilley,don't the girls all get prettier at closing time,0,7nyjRWYY6R98A7qupjv3Lm,0.645,0.649,0,-13.922,1,0.0435,0.795,0.000825,0.184,0.917,88.815,177958,4
4469,dave and sugar,the door is always open,0,0kDE8iIZcedP244LZ3xGJz,0.455,0.479,5,-10.417,1,0.0272,0.499,0.0,0.121,0.826,188.482,163800,4
4471,waylon jennings,this time,0,03T4H6czLK426qcW870hBZ,0.448,0.597,0,-12.201,1,0.0381,0.0884,0.285,0.149,0.514,98.494,144733,4
4472,loretta lynn,out of my head and back in my bed - single version,0,2cLb9n7u5iJTXNOrrJI1F1,0.625,0.69,2,-10.424,1,0.0322,0.284,0.0167,0.727,0.915,132.446,160920,4
4473,barbara mandrell,sleeping single in a double bed - single version,0,2bazs0jc6oxEEeFYQXXJxv,0.706,0.661,0,-9.2,1,0.0297,0.554,0.0,0.0937,0.968,139.453,139610,4
4474,david allan coe,you never even called me by my name,0,2t8bnZqxfcEybJ47qOPPTn,0.589,0.453,0,-13.309,1,0.0353,0.409,0.0,0.351,0.515,105.703,314067,4
4475,billy 'crash' craddock,rub it in,0,6q014fQ3SqLy180KPuCTG1,0.759,0.543,7,-11.189,1,0.0321,0.404,1.25e-05,0.141,0.977,115.671,146800,4
4476,willie nelson,blue skies,0,33LQxf2T3Jbgw3XQ1H3LMY,0.381,0.335,2,-12.797,1,0.0362,0.207,0.088,0.1,0.259,83.792,213440,4
4477,conway twitty,i can't believe she gives it all to me - single version,0,7aatEerxno8RipIcuqPRG1,0.471,0.195,2,-16.353,1,0.0277,0.56,0.000106,0.102,0.47,91.817,143373,4
4478,bobby bare,marie laveau,0,6yFIzIxyTVRfVeSTTvtEBt,0.593,0.521,9,-10.326,1,0.0358,0.872,0.0,0.714,0.855,117.805,189027,4
4479,dolly parton,love is like a butterfly,0,7d4hiv8TcJ2vx9BjSxqvj8,0.684,0.119,8,-14.731,1,0.0426,0.913,6.59e-05,0.112,0.683,89.805,140733,4
4480,emmylou harris,two more bottles of wine - remastered version,0,62buMnGJ9bLrZAV03fGjYc,0.764,0.736,3,-7.571,1,0.0333,0.251,0.000294,0.121,0.96,134.336,186333,4
4482,jerry reed,amos moses,0,7zVZF0OgDJkFJohnlKwEpa,0.738,0.723,2,-10.356,1,0.0728,0.4,0.00134,0.0166,0.95,105.541,139227,4
4483,johnny rodriguez,pass me by,0,0KaaQF4tqn8Ser0PxfqTGz,0.661,0.4,7,-6.499,1,0.0245,0.678,0.0,0.0697,0.397,101.025,157747,4
4484,bob luman,lonely women make good lovers,0,5je7nvdte7odjJvs5iM1bS,0.652,0.484,8,-10.389,1,0.0309,0.712,0.124,0.272,0.636,121.604,193960,4
4485,waylon jennings,"mammas, don't let your babies grow up to be cowboys",0,1gKSpFpX3poa17WIAyFVsp,0.592,0.422,9,-11.549,1,0.0332,0.614,0.0015,0.158,0.536,94.597,153200,3
4486,billy swan,i can help,0,4oW1lGOw5Q5OLvoJv92qoE,0.471,0.675,0,-9.07,1,0.0513,0.511,0.019,0.232,0.53,125.313,238333,4
4487,moe bandy,barstool mountain,0,6kTddqCu2KqjggSNi7ZtNP,0.73,0.225,2,-15.429,1,0.032,0.23,4.27e-06,0.258,0.596,123.61,169000,4
4488,freddy fender,before the next teardrop falls,0,3awuorsQsio2PUOvzq3hpd,0.799,0.345,10,-11.52,1,0.0276,0.748,2.39e-05,0.169,0.776,90.417,156874,4
4489,charlie rich,the most beautiful girl,0,542C7PqR1oEfl63hlhQO4V,0.576,0.318,7,-14.366,1,0.0286,0.661,7.47e-06,0.167,0.41,103.493,161907,4
4490,willie nelson,bloody mary morning,0,5paRS95sOPkOVQlmUIUF4B,0.601,0.766,7,-13.262,1,0.0466,0.586,0.000903,0.347,0.856,130.14,168933,4
4491,ronnie milsap,what a difference you've made in my life,0,4sxet9Zdu2Z9hdhAKbjlNI,0.419,0.484,5,-11.618,1,0.0278,0.405,0.000216,0.21,0.393,96.222,241080,4
4492,moe bandy,just good ol' boys,0,3rvNZziNdig7Z0ePbB365e,0.61,0.459,10,-14.214,1,0.0709,0.75,0.0,0.0869,0.735,151.368,158720,4
4493,marty robbins,"my woman, my woman, my wife",0,7K40sZ0ZV6vGjzSso2nFyr,0.429,0.317,0,-11.322,1,0.0292,0.927,3.5e-06,0.116,0.302,102.109,211107,3
4494,johnny cash,one piece at a time,0,1sueD22EyCamMjdQu9Kuo3,0.721,0.539,10,-14.064,1,0.351,0.685,0.0,0.282,0.963,102.648,241813,4
4495,mac davis,stop and smell the roses,0,6RnKm1xSMDnPtzWx8K9T8a,0.375,0.473,2,-14.177,1,0.0587,0.252,0.0,0.281,0.584,163.181,256720,3
4496,dottie west,country sunshine,0,4jE0JNXJ2H3UdhoYBeu8st,0.453,0.51,0,-8.94,1,0.0357,0.458,0.0,0.106,0.747,83.045,123667,4
4497,willie nelson,blue eyes crying in the rain,0,1DoRzygjRH9VbBdxeh8yAb,0.64,0.133,4,-12.726,1,0.0368,0.913,0.0509,0.112,0.376,117.61,138693,4
4498,the oak ridge boys,y'all come back saloon,0,790HdFZdub1eobl2iLzcem,0.694,0.294,2,-17.535,1,0.0477,0.0499,7.76e-06,0.0887,0.698,82.793,174693,4
4499,gary stewart,she's actin' single (i'm drinkin' doubles),0,7dZgDd8LYriRdR2kDSQjxx,0.7,0.45,6,-11.023,1,0.0308,0.684,6.36e-05,0.158,0.704,109.333,168120,4
4500,loretta lynn,coal miner's daughter,0,3mM14WXoPaLRjjkmxHe99L,0.604,0.354,9,-14.07,1,0.0313,0.836,0.00474,0.103,0.635,137.349,180960,4
4501,johnny cash,man in black,0,7wL9EVloIobMw22rT7Ve8x,0.676,0.58,5,-14.217,1,0.0506,0.589,0.000145,0.218,0.89,95.358,172987,4
